Columba 5660 -3406 5849 -3576
Columba 5849 -3576 5958 -3528
Columba 5849 -3576 5985 -4281
Columba 5958 -3528 6368 -3343
Crater  10996 -1829 10826 -1619
Crater  10996 -1829 11368 -1622
Crater  11195 -2283 10996 -1829
Crater  11321 -1478 11409 -1086
Crater  11409 -1086 11611 -980
Crater  11414 -1768 11321 -1478
Crater  11746 -1834 11414 -1768
Crater  11933 -1714 11746 -1834
Crater  18558 -4231 18813 -4368
Crater  18813 -4368 19051 -4209
Crater  19051 -4209 19138 -4050
Crater  19106 -3706 18978 -3710
Crater  19138 -4050 19166 -3933
Crater  19158 -3789 19106 -3706
Crater  19166 -3933 19158 -3789
Crux 12519 -5711 12443 -6309
Crux 12794 -5968 12251 -5875
Corvus 12140 -2473 12168 -2261
Corvus 12168 -2261 12573 -2340
Corvus 12263 -1755 12168 -2261
Corvus 12498 -1651 12263 -1755
Corvus 12573 -2340 12498 -1651
CanisVenatici 12933 3831 12561 4135
CanisVenatici 12933 3831 13291 4056
Cygnus 19938 3508 19511 2796
Cygnus 20370 4025 19750 4513
Cygnus 20370 4025 19938 3508
Cygnus 20370 4025 20770 3396
Cygnus 20690 4528 20370 4025
Delphinus 20625 1460 20553 1129
Delphinus 20625 1460 20660 1591
Delphinus 20660 1591 20778 1611
Delphinus 20725 1506 20625 1460
Delphinus 20778 1611 20725 1506
Dorado 4566 -5504 4266 -5148
Dorado 5560 -6248 4566 -5504
Dorado 5746 -6573 5560 -6248
Draco 12558 6978 11523 6933
Draco 14073 6438 12558 6978
Draco 15414 5896 14073 6438
Draco 16031 5856 15414 5896
Draco 16399 6151 16031 5856
Draco 17146 6571 16399 6151
Draco 17146 6571 18346 7133
Draco 17506 5230 17536 5518
Draco 17536 5518 17891 5686
Draco 17891 5686 17943 5148
Draco 17891 5686 18853 5938
Draco 17943 5148 17506 5230
Draco 18346 7133 19209 6766
Draco 18351 7273 17146 6571
Draco 18853 5938 20046 6786
Draco 19209 6766 19344 6571
Draco 19258 7334 18351 7273
Draco 19344 6571 17891 5686
Draco 19803 7026 19258 7334
Draco 20046 6786 19803 7026
Equuleus 21241 999 21171 1013
Equuleus 21263 525 21241 999
Eridanus 1628 -5723 1933 -5161
Eridanus 1933 -5161 2274 -5151
Eridanus 2274 -5151 2449 -4769
Eridanus 2449 -4769 2663 -4288
Eridanus 2663 -4288 2678 -3985
Eridanus 2678 -3985 2971 -4029
Eridanus 2734 -1386 2939 -890
Eridanus 2751 -1856 2734 -1386
Eridanus 2751 -1856 3040 -2361
Eridanus 2939 -890 3263 -881
Eridanus 2971 -4029 3713 -3731
Eridanus 3040 -2361 3324 -2175
Eridanus 3263 -881 3548 -944
Eridanus 3324 -2175 3563 -2163
Eridanus 3548 -944 3719 -976
Eridanus 3563 -2163 3779 -2324
Eridanus 3719 -976 3768 -1210
Eridanus 3768 -1210 3966 -1351
Eridanus 3779 -2324 3895 -2461
Eridanus 3810 -3761 3713 -3731
Eridanus 3895 -2461 3998 -2401
Eridanus 3966 -1351 4225 -725
Eridanus 3998 -2401 4558 -2976
Eridanus 4225 -725 4604 -335
Eridanus 4298 -3380 3810 -3761
Eridanus 4400 -3401 4298 -3380
Eridanus 4558 -2976 4593 -3056
Eridanus 4593 -3056 4400 -3401
Eridanus 4604 -335 4758 -325
Eridanus 4758 -325 5130 -508
Gemini 6248 2249 6068 2326
Gemini 6383 2251 6248 2249
Gemini 6628 1640 7068 2056
Gemini 6731 2513 6383 2251
Gemini 6755 1290 6628 1640
Gemini 7068 2056 7334 2198
Gemini 7334 2198 7755 2803
Gemini 7576 3188 6731 2513
Gemini 7755 2803 7576 3188
Grus 21898 -3736 22101 -3955
Grus 22101 -3955 22260 -4135
Grus 22260 -4135 22488 -4350
Grus 22488 -4350 22136 -4696
Grus 22488 -4350 22711 -4688
Grus 22711 -4688 22810 -5131
Grus 22711 -4688 23173 -4525
Grus 22810 -5131 23015 -5274
